slug,status,iterations,reroll_count,n_modules,n_impls,ref_status,per_module_pass,per_module_fail,trace_conform,trace_diverged,trace_inv_violated,trace_other,pipeline_seconds,total_tlc_seconds,llm_calls,input_tokens,output_tokens,cached_read_tokens,est_usd,error_note
bank_audit,verified,6,0,2,2,passed,2,0,2,0,0,0,295.6,5.98,10,16014,26273,20174,2.7772,
cache_store,verified,4,0,2,2,passed,2,0,1,0,0,1,194.42,5.91,8,17516,17302,20616,1.7784,
leader_log,unverified,6,0,2,2,error,2,0,0,0,0,0,275.21,6.47,7,14559,25765,17011,2.5954,failing_modules=
producer_consumer,unverified,6,0,3,3,error,2,1,0,0,0,0,484.65,6.78,7,16367,33328,17011,3.3109,failing_modules=Consumer
rw_lock,verified,3,0,2,2,passed,2,0,1,0,0,1,245.7,5.15,7,20819,25070,8101,2.5275,
two_phase_commit,unverified,6,0,2,2,error,2,0,0,0,0,0,355.57,4.47,7,11998,33302,17011,3.2095,failing_modules=
