slug,status,iterations,reroll_count,n_modules,n_impls,ref_status,per_module_pass,per_module_fail,trace_conform,trace_diverged,trace_inv_violated,trace_other,pipeline_seconds,total_tlc_seconds,llm_calls,input_tokens,output_tokens,cached_read_tokens,est_usd,error_note
bank_audit,verified,3,0,2,2,passed,2,0,2,0,0,0,171.66,6.63,7,16352,15007,8101,1.7455,
cache_store,unverified,6,1,2,2,error,0,2,0,0,0,0,240.11,3.31,7,18934,23339,19208,2.5515,"failing_modules=Store,Cache"
leader_log,unverified,6,1,2,2,error,2,0,0,0,0,0,301.0,12.57,7,17470,27829,19208,2.9377,failing_modules=
producer_consumer,verified,5,0,3,3,passed,3,0,3,0,0,0,461.5,7.32,10,38111,32143,28315,3.8475,
rw_lock,verified,6,1,2,2,passed,2,0,1,0,0,1,349.65,5.07,10,26203,34476,17705,3.6356,
two_phase_commit,verified,2,0,2,2,passed,2,0,0,0,0,2,134.59,5.14,6,16524,12746,15678,1.2273,
