slug,stage,calls,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,latency_s,est_usd,degraded_calls
bank_audit,planner,1,2519,538,0,0,8.152,0.078135,0
bank_audit,synth_bundle,1,1394,3166,0,4666,33.518,0.345847,0
bank_audit,repair_bundle,4,17475,14839,15332,25246,152.637,1.871411,0
bank_audit,refine_child,2,3060,2656,3163,3163,26.066,0.309151,0
bank_audit,refine_parent,1,4073,1756,0,2217,18.985,0.234364,0
cache_store,planner,1,2503,608,0,0,8.73,0.083145,0
cache_store,synth_bundle,3,1505,11367,13998,2836,108.389,0.949272,0
cache_store,repair_bundle,3,8006,12498,7407,10582,115.81,1.266963,0
cache_store,refine_child,2,2896,1858,6326,0,25.505,0.192279,0
cache_store,refine_parent,1,3821,2702,2217,0,26.846,0.26329,0
leader_log,planner,1,2482,491,0,0,7.809,0.074055,0
leader_log,synth_bundle,2,1351,8165,9332,1293,77.377,0.670882,0
leader_log,repair_bundle,4,14618,18354,9876,22015,176.558,2.023415,0
leader_log,refine_child,2,3551,3076,3163,3163,28.606,0.348016,0
leader_log,refine_parent,1,3917,2164,0,2217,24.649,0.262624,0
producer_consumer,planner,1,2448,558,0,0,6.885,0.07857,0
producer_consumer,synth_bundle,1,1314,5198,4666,0,46.748,0.416559,0
producer_consumer,repair_bundle,3,19193,17509,7407,26042,168.221,2.100468,0
producer_consumer,refine_child,3,4505,3130,6326,3163,31.173,0.37112,0
producer_consumer,refine_parent,1,4287,2305,0,2217,24.571,0.278749,0
rw_lock,planner,1,2438,623,0,0,8.607,0.083295,0
rw_lock,synth_bundle,2,1422,9782,4666,6030,87.507,0.875042,0
rw_lock,repair_bundle,4,15260,21186,9876,24556,193.724,2.293089,0
rw_lock,refine_child,2,3734,3259,3163,3163,30.258,0.364486,0
rw_lock,refine_parent,1,4210,2757,0,2217,28.554,0.311494,0
two_phase_commit,planner,1,2449,608,0,0,9.995,0.082335,0
two_phase_commit,synth_bundle,3,1448,13701,13998,2722,126.647,1.12133,0
two_phase_commit,repair_bundle,3,13776,15368,7407,12924,140.506,1.612675,0
