slug,status,iterations,n_modules,n_impls,ref_status,per_module_pass,per_module_fail,trace_conform,trace_diverged,trace_inv_violated,trace_other,pipeline_seconds,total_tlc_seconds,error_note
bank_audit,unverified,7,2,2,error,2,0,0,0,0,0,358.18,5.5,failing_modules=
producer_consumer,verified,4,3,3,passed,3,0,3,0,0,0,272.84,34.93,
