slug,stage,calls,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,latency_s,est_usd,degraded_calls
producer_consumer,planner,1,2448,610,0,0,8.055,0.08247,0
producer_consumer,synth_bundle,3,1423,12243,13998,2672,113.265,1.010667,0
producer_consumer,repair_bundle,3,9978,12774,7407,10389,118.7,1.313624,0
