slug,stage,calls,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,latency_s,est_usd,degraded_calls
bank_audit,planner,1,2519,470,0,0,6.384,0.073035,0
bank_audit,synth_bundle,1,1338,3897,4666,0,37.889,0.319344,0
bank_audit,repair_bundle,3,15097,16116,7407,22730,162.221,1.872453,0
bank_audit,refine_child,2,2960,2705,6326,0,27.459,0.256764,0
bank_audit,refine_parent,1,4183,1581,2217,0,16.325,0.184645,0
leader_log,planner,1,2482,476,0,0,9.321,0.07293,0
leader_log,synth_bundle,1,1307,4373,4666,0,40.384,0.354579,0
leader_log,repair_bundle,5,25260,25441,30273,40244,250.684,3.08696,0
producer_consumer,planner,1,2448,565,0,0,9.908,0.079095,0
producer_consumer,synth_bundle,1,1373,4041,0,4666,38.187,0.411158,0
producer_consumer,repair_bundle,3,17028,15265,7407,21656,141.395,1.817455,0
producer_consumer,refine_child,3,4385,3088,6326,3163,32.123,0.36617,0
producer_consumer,refine_parent,1,4195,1943,0,2217,19.696,0.250219,0
rw_lock,planner,1,2438,511,0,0,9.501,0.074895,0
rw_lock,synth_bundle,1,1295,3545,0,4666,32.82,0.372787,0
rw_lock,repair_bundle,2,5836,7269,4938,9173,66.65,0.812116,0
rw_lock,refine_child,2,3638,3051,6326,0,28.62,0.292884,0
rw_lock,refine_parent,1,3665,2024,2217,0,23.974,0.2101,0
two_phase_commit,planner,1,2449,626,0,0,8.692,0.083685,0
two_phase_commit,synth_bundle,1,1408,3830,4666,0,35.955,0.315369,0
two_phase_commit,repair_bundle,4,18733,20588,16129,30277,192.447,2.416982,0
two_phase_commit,refine_child,3,4032,3004,9489,0,30.396,0.300014,0
two_phase_commit,refine_parent,1,4339,1941,0,2217,20.461,0.252229,0
