slug,stage,calls,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,latency_s,est_usd,degraded_calls
bank_audit,planner,1,2519,581,0,0,7.963,0.08136,0
bank_audit,synth_bundle,1,1434,3262,4666,0,39.599,0.273159,0
bank_audit,repair_bundle,3,6877,10581,7407,9892,100.559,1.093315,0
bank_audit,refine_child,2,3164,1886,3163,3163,19.815,0.252961,0
bank_audit,refine_parent,1,3217,1507,0,2217,16.791,0.202849,0
cache_store,planner,1,2503,470,0,0,6.662,0.072795,0
cache_store,synth_bundle,1,1323,3283,4666,0,33.246,0.273069,0
cache_store,repair_bundle,5,9390,19051,12345,20049,183.717,1.964111,0
leader_log,planner,1,2482,633,0,0,11.948,0.084705,0
leader_log,synth_bundle,1,1451,3279,4666,0,31.751,0.274689,0
leader_log,repair_bundle,3,6673,10495,7407,9901,104.457,1.083974,0
leader_log,refine_child,2,3167,1789,3163,3163,19.594,0.245731,0
leader_log,refine_parent,1,2952,1510,0,2217,16.646,0.199099,0
producer_consumer,planner,1,2448,582,0,0,8.896,0.08037,0
producer_consumer,synth_bundle,1,1338,4416,4666,0,40.689,0.358269,0
producer_consumer,repair_bundle,5,12129,25458,12345,25861,242.921,2.594696,0
rw_lock,planner,1,2438,533,0,0,6.824,0.076545,0
rw_lock,synth_bundle,1,1317,4881,0,4666,44.591,0.473318,0
rw_lock,repair_bundle,4,8682,21172,9876,19402,190.845,2.096732,0
rw_lock,refine_child,2,3636,3029,3163,3163,29.718,0.345766,0
rw_lock,refine_parent,1,4505,3273,0,2217,32.512,0.354619,0
