slug,stage,calls,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,latency_s,est_usd,degraded_calls
bank_audit,planner,1,2519,455,0,0,6.757,0.07191,0
bank_audit,synth_bundle,1,1325,4749,4666,0,44.996,0.383049,0
bank_audit,repair_bundle,5,29679,28063,32220,47641,267.641,3.491509,0
bank_audit,refine_child,2,3578,3036,3163,3163,31.326,0.345421,0
bank_audit,refine_parent,1,4740,1867,0,2217,18.998,0.252694,0
cache_store,planner,1,2503,482,0,0,6.63,0.073695,0
cache_store,synth_bundle,1,1335,3028,0,4666,31.331,0.334612,0
cache_store,repair_bundle,3,13630,13594,7407,19120,133.783,1.593611,0
cache_store,refine_child,2,3459,2010,6326,0,20.839,0.212124,0
cache_store,refine_parent,1,3541,1959,2217,0,21.043,0.203366,0
leader_log,planner,1,2482,487,0,0,6.71,0.073755,0
leader_log,synth_bundle,1,1317,3196,4666,0,30.2,0.266454,0
leader_log,repair_bundle,2,6582,10816,4938,8927,117.684,1.084718,0
leader_log,refine_child,2,3546,3320,6326,0,33.019,0.311679,0
leader_log,refine_parent,1,4267,2296,2217,0,24.801,0.239531,0
rw_lock,planner,1,2438,517,0,0,6.888,0.075345,0
rw_lock,synth_bundle,1,1301,5158,4666,0,55.804,0.413364,0
rw_lock,repair_bundle,3,14712,16524,7407,25198,154.234,1.943553,0
rw_lock,refine_child,2,3728,3178,3163,3163,29.149,0.358321,0
rw_lock,refine_parent,1,4128,2390,0,2217,22.838,0.282739,0
two_phase_commit,planner,1,2449,621,0,0,9.054,0.08331,0
two_phase_commit,synth_bundle,1,1403,3349,4666,0,32.29,0.279219,0
two_phase_commit,repair_bundle,5,19885,20786,26659,35347,215.809,2.55997,0
