slug,stage,calls,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,latency_s,est_usd,degraded_calls
bank_audit,planner,1,2519,574,0,0,7.655,0.080835,0
bank_audit,synth_bundle,1,1430,4460,0,4666,41.509,0.443437,0
bank_audit,repair_bundle,1,6487,4913,2469,0,45.049,0.469483,0
bank_audit,refine_child,2,3150,2321,6326,0,24.418,0.230814,0
bank_audit,refine_parent,1,3932,1345,2217,0,14.549,0.163181,0
cache_store,planner,1,2503,510,0,0,7.105,0.075795,0
cache_store,synth_bundle,1,1362,3649,4666,0,35.846,0.301104,0
cache_store,repair_bundle,4,8313,14850,9876,15580,148.724,1.545384,0
cache_store,refine_child,2,2912,1403,6326,0,16.328,0.158394,0
cache_store,refine_parent,1,3036,1796,2217,0,20.993,0.183565,0
leader_log,planner,1,2482,454,0,0,6.163,0.07128,0
leader_log,synth_bundle,1,1285,3797,4666,0,36.361,0.311049,0
leader_log,repair_bundle,5,7221,24001,12345,23586,243.252,2.369145,0
producer_consumer,planner,1,2448,609,0,0,8.469,0.082395,0
producer_consumer,synth_bundle,1,1365,3697,0,4666,36.408,0.385238,0
producer_consumer,repair_bundle,5,9279,21517,12345,22496,209.441,2.193278,0
producer_consumer,refine_child,3,4368,3147,6326,3163,33.081,0.37034,0
producer_consumer,refine_parent,1,3913,1655,0,2217,19.616,0.224389,0
rw_lock,planner,1,2438,485,0,0,5.874,0.072945,0
rw_lock,synth_bundle,1,1269,3470,0,4666,32.114,0.366773,0
rw_lock,repair_bundle,1,5046,3694,2469,0,33.065,0.356444,0
rw_lock,refine_child,2,3497,2894,6326,0,42.442,0.278994,0
rw_lock,refine_parent,1,3817,2785,2217,0,33.1,0.269456,0
two_phase_commit,planner,1,2449,650,0,0,9.887,0.085485,0
two_phase_commit,synth_bundle,1,1431,4871,4666,0,44.234,0.393789,0
two_phase_commit,repair_bundle,5,10302,27321,12345,27706,254.742,2.74161,0
