slug,status,iterations,reroll_count,n_modules,n_impls,ref_status,per_module_pass,per_module_fail,trace_conform,trace_diverged,trace_inv_violated,trace_other,pipeline_seconds,total_tlc_seconds,llm_calls,input_tokens,output_tokens,cached_read_tokens,est_usd,error_note
bank_audit,unverified,6,2,2,2,error,0,2,0,0,0,0,364.1,0.91,7,11986,22452,21405,2.1473,"failing_modules=Accounts,AuditLog"
cache_store,unverified,6,2,2,2,error,0,2,0,0,0,0,218.64,0.89,7,11962,21423,21405,2.0402,"failing_modules=Store,Cache"
leader_log,unverified,6,2,2,2,error,2,0,0,0,0,0,256.66,9.48,7,13315,24050,21405,2.2668,failing_modules=
producer_consumer,unverified,6,2,3,3,error,0,3,0,0,0,0,499.19,3.06,7,14569,24908,21405,2.3601,"failing_modules=BoundedQueue,Producer,Consumer"
rw_lock,verified,4,1,2,2,passed,2,0,2,0,0,0,239.12,4.82,8,17931,23642,17433,2.306,
two_phase_commit,unverified,6,2,2,2,error,2,0,0,0,0,0,283.65,4.65,7,13016,28088,21405,2.5958,failing_modules=
